id,fecha,vendedor,region,categoria,producto,cantidad,precio_unitario,descuento,cliente,edad_cliente,genero
1,2024-01-03,Ana Garcia,Norte,Electronica,Laptop,2,35000.00,0.05,Juan Perez,34,M
2,2024-01-05,Carlos Lopez,Sur,Ropa,Camiseta,15,850.00,0.00,Maria Santos,28,F
3,2024-01-07,Maria Perez,Este,Alimentacion,Arroz 5lb,30,250.00,0.10,Pedro Gomez,45,M
4,2024-01-08,Ana Garcia,Norte,Electronica,Audifonos,8,1200.00,0.05,Laura Diaz,31,F
5,2024-01-10,Luis Soto,Oeste,Ropa,Pantalon,10,1500.00,0.00,Carlos Ruiz,52,M
6,2024-01-12,Carlos Lopez,Sur,Alimentacion,Aceite 1L,25,180.00,0.00,Ana Torres,29,F
7,2024-01-14,Maria Perez,Este,Electronica,Mouse,20,650.00,0.05,Roberto Silva,38,M
8,2024-01-15,Ana Garcia,Norte,Hogar,Sarten,12,950.00,0.00,Lucia Mora,41,F
9,2024-01-17,Luis Soto,Oeste,Alimentacion,Leche 1L,40,120.00,0.00,Miguel Vargas,25,M
10,2024-01-19,Carlos Lopez,Sur,Electronica,Teclado,6,1800.00,0.05,Sofia Reyes,33,F
11,2024-01-21,Maria Perez,Este,Ropa,Vestido,7,2200.00,0.10,Diego Castro,47,M
12,2024-01-23,Ana Garcia,Norte,Hogar,Licuadora,5,3500.00,0.00,Elena Fuentes,36,F
13,2024-01-25,Luis Soto,Oeste,Electronica,Tablet,3,18000.00,0.05,Pablo Herrera,29,M
14,2024-01-27,Carlos Lopez,Sur,Hogar,Plancha,8,2800.00,0.00,Isabel Mendez,44,F
15,2024-01-29,Maria Perez,Este,Alimentacion,Pasta 500g,35,95.00,0.00,Fernando Lopez,31,M
16,2024-02-01,Ana Garcia,Norte,Electronica,Laptop,1,35000.00,0.10,Carmen Vega,55,F
17,2024-02-03,Luis Soto,Oeste,Ropa,Zapatos,9,3200.00,0.00,Jose Martinez,42,M
18,2024-02-05,Carlos Lopez,Sur,Alimentacion,Aceite 1L,20,180.00,0.00,Patricia Rojas,28,F
19,2024-02-07,Maria Perez,Este,Hogar,Microondas,4,12000.00,0.05,Ricardo Blanco,39,M
20,2024-02-09,Ana Garcia,Norte,Ropa,Chaqueta,6,4500.00,0.10,Gabriela Rios,33,F
21,2024-02-11,Luis Soto,Oeste,Electronica,Audifonos,11,1200.00,0.00,Andres Pena,27,M
22,2024-02-13,Carlos Lopez,Sur,Electronica,Mouse,14,650.00,0.05,Beatriz Salazar,35,F
23,2024-02-15,Maria Perez,Este,Ropa,Camiseta,22,850.00,0.00,Hector Medina,48,M
24,2024-02-17,Ana Garcia,Norte,Alimentacion,Arroz 5lb,18,250.00,0.00,Natalia Cruz,30,F
25,2024-02-19,Luis Soto,Oeste,Hogar,Sarten,7,950.00,0.05,Oscar Jimenez,37,M
26,2024-02-21,Carlos Lopez,Sur,Electronica,Teclado,9,1800.00,0.00,Valeria Moreno,26,F
27,2024-02-23,Maria Perez,Este,Electronica,Mouse,16,650.00,0.05,Ernesto Campos,43,M
28,2024-02-25,Ana Garcia,Norte,Hogar,Licuadora,3,3500.00,0.10,Claudia Santos,32,F
29,2024-02-27,Luis Soto,Oeste,Alimentacion,Leche 1L,50,120.00,0.00,Rafael Guerrero,51,M
30,2024-02-29,Carlos Lopez,Sur,Ropa,Pantalon,12,1500.00,0.05,Monica Aguilar,24,F
31,2024-03-02,Ana Garcia,Norte,Electronica,Monitor,2,28000.00,0.05,Nicolas Soto,40,M
32,2024-03-04,Luis Soto,Oeste,Alimentacion,Pasta 500g,28,95.00,0.00,Daniela Rojas,29,F
33,2024-03-06,Carlos Lopez,Sur,Hogar,Microondas,3,12000.00,0.10,Eduardo Vega,36,M
34,2024-03-08,Maria Perez,Este,Ropa,Vestido,5,2200.00,0.00,Adriana Torres,44,F
