id,fecha,vendedor,region,categoria,producto,cantidad,precio_unitario,descuento,cliente,edad_cliente,genero,venta_bruta,venta_neta,mes,trimestre,nivel_venta,meta_ventas
1,2024-01-03,Ana Garcia,Norte,Electronica,Laptop,2.0,35000.0,0.05,Juan Perez,34.0,M,70000.0,66500.0,1,1,Alta,150000
2,2024-01-05,Carlos Lopez,Sur,Ropa,Camiseta,15.0,850.0,0.0,Maria Santos,28.0,F,12750.0,12750.0,1,1,Media,140000
3,2024-01-07,Maria Perez,Este,Alimentacion,Arroz 5Lb,30.0,250.0,0.1,Pedro Gomez,45.0,M,7500.0,6750.0,1,1,Media,160000
4,2024-01-08,Ana Garcia,Norte,Electronica,Audifonos,8.0,1200.0,0.05,Laura Diaz,31.0,F,9600.0,9120.0,1,1,Media,150000
5,2024-01-10,Luis Soto,Oeste,Ropa,Pantalon,10.0,1500.0,0.0,Carlos Ruiz,52.0,M,15000.0,15000.0,1,1,Media,130000
6,2024-01-12,Carlos Lopez,Sur,Alimentacion,Aceite 1L,25.0,180.0,0.0,Ana Torres,29.0,F,4500.0,4500.0,1,1,Baja,140000
7,2024-01-14,Maria Perez,Este,Electronica,Mouse,20.0,650.0,0.05,Roberto Silva,38.0,M,13000.0,12350.0,1,1,Media,160000
8,2024-01-15,Ana Garcia,Norte,Hogar,Sarten,12.0,950.0,0.0,Lucia Mora,41.0,F,11400.0,11400.0,1,1,Media,150000
9,2024-01-17,Luis Soto,Oeste,Alimentacion,Leche 1L,40.0,120.0,0.0,Miguel Vargas,25.0,M,4800.0,4800.0,1,1,Baja,130000
10,2024-01-19,Carlos Lopez,Sur,Electronica,Teclado,6.0,1800.0,0.05,Sofia Reyes,33.0,F,10800.0,10260.0,1,1,Media,140000
11,2024-01-21,Maria Perez,Este,Ropa,Vestido,7.0,2200.0,0.1,Diego Castro,47.0,M,15400.0,13860.0,1,1,Media,160000
12,2024-01-23,Ana Garcia,Norte,Hogar,Licuadora,5.0,3500.0,0.0,Elena Fuentes,36.0,F,17500.0,17500.0,1,1,Media,150000
13,2024-01-25,Luis Soto,Oeste,Electronica,Tablet,3.0,18000.0,0.05,Pablo Herrera,29.0,M,54000.0,51300.0,1,1,Alta,130000
14,2024-01-27,Carlos Lopez,Sur,Hogar,Plancha,8.0,2800.0,0.0,Isabel Mendez,44.0,F,22400.0,22400.0,1,1,Alta,140000
15,2024-01-29,Maria Perez,Este,Alimentacion,Pasta 500G,35.0,95.0,0.0,Fernando Lopez,31.0,M,3325.0,3325.0,1,1,Baja,160000
16,2024-02-01,Ana Garcia,Norte,Electronica,Laptop,1.0,35000.0,0.1,Carmen Vega,55.0,F,35000.0,31500.0,2,1,Alta,150000
17,2024-02-03,Luis Soto,Oeste,Ropa,Zapatos,9.0,3200.0,0.0,Jose Martinez,42.0,M,28800.0,28800.0,2,1,Alta,130000
18,2024-02-05,Carlos Lopez,Sur,Alimentacion,Aceite 1L,20.0,180.0,0.0,Patricia Rojas,28.0,F,3600.0,3600.0,2,1,Baja,140000
19,2024-02-07,Maria Perez,Este,Hogar,Microondas,4.0,12000.0,0.05,Ricardo Blanco,39.0,M,48000.0,45600.0,2,1,Alta,160000
20,2024-02-09,Ana Garcia,Norte,Ropa,Chaqueta,6.0,4500.0,0.1,Gabriela Rios,33.0,F,27000.0,24300.0,2,1,Alta,150000
21,2024-02-11,Luis Soto,Oeste,Electronica,Audifonos,11.0,1200.0,0.0,Andres Pena,27.0,M,13200.0,13200.0,2,1,Media,130000
